Year,Month,Name,Limit,DeviceName,DeviceType,FlowDirection,Factor
2020,3,EASTEX,89999.1,3100 MARTINLK 3105 ELKTON_5 1,Line,From-To,1
2020,3,EASTEX,89999.1,3100 MARTINLK 3109 STRYKER_ 1,Line,From-To,1
2020,3,EASTEX,89999.1,3116 MTENTRPR 3119 NACOGDSE 1,Line,From-To,1
2020,3,EASTEX,89999.1,3116 MTENTRPR 3124 TRINDAD2 1,Line,From-To,1
2020,3,MCCAMY,2167.2,38310 TN16TH_ 38330 TNWDWRD 1,Line,To-From,1
2020,3,MCCAMY,2167.2,60014 SPUD4A 76615 L_LCRAN 1,Line,From-To,1
2020,3,MCCAMY,2167.2,60723 CROSSOV 76032 L_NORTM 1,Line,To-From,1
2020,3,MCCAMY,2167.2,6556 YATW_SW2 60370 ALLEYOO 1,Line,From-To,1
2020,3,MCCAMY,2167.2,6601 RIOPECOS 76615 L_LCRAN 1,Line,From-To,1
2020,3,MCCAMY,2167.2,6630 FTST4A 6671 TOMBSTNE 1,Line,To-From,1
2020,3,MCCAMY,2167.2,76003 L_BIGHI 76005 L_SCHND 1,Line,To-From,1
2020,3,MCCAMY,2167.2,76040 L_CASTI 76615 L_LCRAN 1,Line,From-To,1
2020,3,MCCAMY,2167.2,76579 L_FORTL 76582 L_MEVIS 1,Line,To-From,1
2020,3,MCCAMY,2167.2,76615 L_LCRAN 76635 L_KINGM 1,Line,To-From,1
2020,3,MCCAMY,2167.2,842 GPL_KINGM 11028 ODESEHV 1,Line,From-To,1
2020,3,MCCAMY,2167.2,38420 TNWHITE 69 38430 TNWHITE 138 1,Transformer,To-From,1
2020,3,MCCAMY,2167.2,6598 RIOPECOS 69 6601 RIOPECOS 138 1,Transformer,To-From,1
2020,3,MCCAMY,2167.2,6598 RIOPECOS 69 6601 RIOPECOS 138 2,Transformer,To-From,1
2020,3,NELRIO,89999.1,80076 AJO7A 85000 N_SHARP 1,Line,From-To,1
2020,3,NELRIO,89999.1,8902 RIOHONDO 80512 MGVLYTP 1,Line,To-From,1
2020,3,NE_LOB,839.7,5709 FOWLERTO 80219 LOBO7A 1,Line,To-From,1
2020,3,NE_LOB,839.7,8383 NEDIN7A 8574 POMELO7A 1,Line,To-From,1
2020,3,NE_LOB,839.7,80219 LOBO7A 345 80221 LOBO4A 138 1,Transformer,From-To,1
2020,3,NE_LOB,839.7,80219 LOBO7A 345 80221 LOBO4A 138 2,Transformer,From-To,1
2020,3,N_TO_H,4011.3,40600 ROANS__ 45972 KUYDAL7 75,Line,From-To,1
2020,3,N_TO_H,4011.3,44645 SNGLTN_ 44900 ZENITH_ 98,Line,From-To,1
2020,3,N_TO_H,4011.3,44645 SNGLTN_ 44900 ZENITH_ 99,Line,From-To,1
2020,3,N_TO_H,4011.3,44645 SNGLTN_ 46500 TOMBAL_ 74,Line,From-To,1
2020,3,N_TO_H,4011.3,967 GIBN_CREK 44900 ZENITH_ 18,Line,From-To,1
2020,3,N_TO_H,4011.3,967 GIBN_CREK 44900 ZENITH_ 50,Line,From-To,1
2020,3,PNHNDL,3493.8,11305 DERMOTT 59904 COTTONW 1,Line,To-From,1
2020,3,PNHNDL,3493.8,11305 DERMOTT 59904 COTTONW 2,Line,To-From,1
2020,3,PNHNDL,3493.8,59904 COTTONW 60500 EDITHCL 1,Line,From-To,1
2020,3,PNHNDL,3493.8,59904 COTTONW 60500 EDITHCL 2,Line,From-To,1
2020,3,PNHNDL,3493.8,60501 TESLA7A 60505 EDITHCL 1,Line,From-To,1
2020,3,PNHNDL,3493.8,60501 TESLA7A 60505 EDITHCL 2,Line,From-To,1
2020,3,PNHNDL,3493.8,60501 TESLA7A 61001 JIMTREE 1,Line,From-To,1
2020,3,PNHNDL,3493.8,6101 RILEY7A 60501 TESLA7A 1,Line,To-From,1
2020,3,REDTAP,89999.1,8896 RACHAL4A 88380 RGTAP4A 1,Line,To-From,1
2020,3,RV_RH,89999.1,5745 ERAYMNDV 80309 LASPULG 1,Line,To-From,1
2020,3,RV_RH,89999.1,57900 RAYTPNR 80309 LASPULG 1,Line,To-From,1
2020,3,RV_RH,89999.1,8302 RAYMND24 80309 LASPULG 1,Line,To-From,1
2020,3,RV_RH,89999.1,8319 RIOHONDO 80309 LASPULG 1,Line,To-From,1
2020,3,TRDWEL,89999.1,6365 YELWJCKT 60423 TREADWE 1,Line,To-From,1
2020,3,TRDWEL,89999.1,6480 SAPOWER4 60423 TREADWE 1,Line,To-From,1
2020,3,VALIMP,1442.7,5742 YTURRIAS 8302 RAYMND24 1,Line,From-To,1
2020,3,VALIMP,1442.7,8383 NEDIN7A 8574 POMELO7A 1,Line,To-From,1
2020,3,VALIMP,1442.7,8455 LONHILL7 8905 NEDIN7C 1,Line,From-To,1
